date,season,playoff,team1,team2,elo1_pre,elo2_pre
1980-11-20,1981,,POR,MIL,1447.7357,1646.0876
1980-11-21,1981,,BOS,GSW,1659.8265,1484.6575
1980-11-21,1981,,CHI,NYK,1439.2651,1541.0327
1980-11-21,1981,,DAL,SEA,1252.4612,1503.4883
1980-11-21,1981,,DEN,KCK,1426.8303,1500.2502
1980-11-21,1981,,LAL,PHO,1689.1146,1653.3588
1980-11-21,1981,,NJN,HOU,1422.8079,1479.5273
1980-11-21,1981,,PHI,IND,1698.0078,1490.7756
1980-11-21,1981,,WSB,SDC,1472.7179,1386.9531
1980-11-22,1981,,ATL,UTA,1460.1603,1438.3358
1980-11-22,1981,,CHI,WSB,1449.0624,1477.8953
1980-11-22,1981,,CLE,BOS,1432.4429,1661.1748
1980-11-22,1981,,DET,NJN,1300.7034,1412.2373
1980-11-22,1981,,IND,HOU,1488.4985,1490.0979
1980-11-22,1981,,NYK,GSW,1531.2355,1483.3092
1980-11-22,1981,,SAS,PHI,1566.0969,1700.2849
1980-11-23,1981,,LAL,MIL,1700.8965,1650.334
1980-11-23,1981,,PHO,DEN,1641.5769,1437.9119
1980-11-23,1981,,POR,DAL,1443.4894,1246.9913
1980-11-23,1981,,SDC,SEA,1381.7758,1508.9581
1980-11-24,1981,,NYK,HOU,1518.9409,1483.5638
1980-11-25,1981,,ATL,POR,1464.8322,1447.5562
1980-11-25,1981,,DAL,PHI,1242.9246,1707.6705
1980-11-25,1981,,SDC,DEN,1393.9108,1434.2776
1980-11-26,1981,,BOS,POR,1640.8457,1443.655
1980-11-26,1981,,CLE,NYK,1452.772,1522.1135
1980-11-26,1981,,DEN,SDC,1424.0881,1404.1002
1980-11-26,1981,,DET,UTA,1314.1156,1433.6639
1980-11-26,1981,,HOU,PHI,1480.3912,1710.0459
1980-11-26,1981,,IND,ATL,1495.0326,1468.7333
1980-11-26,1981,,KCK,NJN,1489.1687,1398.8251
1980-11-26,1981,,PHO,SEA,1645.2112,1496.8231
1980-11-26,1981,,SAS,CHI,1558.7113,1458.3132
1980-11-27,1981,,GSW,LAL,1495.6038,1678.3893
1980-11-27,1981,,WSB,IND,1468.6444,1505.0636
1980-11-28,1981,,BOS,NYK,1645.5874,1530.7384
1980-11-28,1981,,CLE,WSB,1444.1471,1479.1375
1980-11-28,1981,,DAL,DEN,1240.5492,1427.9414
1980-11-28,1981,,DET,KCK,1306.298,1495.792
1980-11-28,1981,,MIL,ATL,1672.8412,1458.7023
1980-11-28,1981,,NJN,UTA,1392.2018,1441.4816
1980-11-28,1981,,PHI,POR,1712.4015,1438.9133
1980-11-28,1981,,PHO,CHI,1648.5551,1456.0021
1980-11-28,1981,,SAS,HOU,1561.0225,1478.0356
1980-11-28,1981,,SEA,SDC,1493.4792,1400.2469
1980-11-29,1981,,ATL,DET,1457.118,1320.293
1980-11-29,1981,,DEN,LAL,1431.345,1685.3834
1980-11-29,1981,,GSW,PHO,1488.6096,1649.5806
1980-11-29,1981,,HOU,DAL,1494.9446,1237.1456
1980-11-29,1981,,IND,CLE,1494.5706,1457.2772
1980-11-29,1981,,KCK,SAS,1481.797,1544.1135
1980-11-29,1981,,NYK,POR,1525.7996,1436.9447
1980-11-29,1981,,PHI,UTA,1714.3701,1424.834
1980-11-29,1981,,WSB,MIL,1466.0073,1674.4254
1980-11-30,1981,,LAL,CHI,1687.4834,1454.9766
1980-11-30,1981,,MIL,BOS,1660.5452,1650.5262
1980-11-30,1981,,PHO,HOU,1655.125,1498.3156
1980-11-30,1981,,SDC,GSW,1407.443,1483.0652
1980-11-30,1981,,SEA,NJN,1486.2832,1408.8494
1980-12-02,1981,,ATL,PHI,1446.1334,1716.7682
1980-12-02,1981,,DAL,CLE,1233.7747,1449.3704
1980-12-02,1981,,DEN,CHI,1429.245,1485.5181
1980-12-02,1981,,DET,BOS,1331.2776,1647.4463
1980-12-02,1981,,MIL,UTA,1663.6251,1422.4359
1980-12-02,1981,,NYK,IND,1527.5704,1502.4774
1980-12-02,1981,,POR,NJN,1435.1738,1400.2144
1980-12-02,1981,,SAS,PHO,1549.6338,1656.8473
1980-12-02,1981,,WSB,KCK,1479.8876,1476.2767
1980-12-03,1981,,BOS,ATL,1651.1587,1456.7909
1980-12-03,1981,,GSW,NJN,1468.1238,1419.0327
1980-12-03,1981,,HOU,CLE,1496.5933,1454.5995
1980-12-03,1981,,IND,WSB,1524.3732,1484.036
1980-12-03,1981,,KCK,PHO,1472.1283,1669.9556
1980-12-03,1981,,LAL,SDC,1656.9419,1422.3844
1980-12-03,1981,,PHI,NYK,1706.1107,1505.6747
1980-12-03,1981,,SEA,CHI,1494.9182,1493.7235
1980-12-04,1981,,SAS,CLE,1536.5255,1449.2445
1980-12-04,1981,,SDC,POR,1440.8156,1416.3555
1980-12-04,1981,,UTA,DEN,1420.3074,1421.0396
1980-12-05,1981,,BOS,DAL,1652.9265,1228.5455
1980-12-05,1981,,DEN,GSW,1416.8104,1477.7355
1980-12-05,1981,,KCK,HOU,1479.8577,1501.9482
1980-12-05,1981,,MIL,IND,1665.7537,1531.1667
1980-12-05,1981,,PHI,ATL,1707.9893,1455.0231
1980-12-05,1981,,PHO,NJN,1662.2262,1409.421
1980-12-05,1981,,POR,CHI,1424.698,1487.7036
1980-12-05,1981,,WSB,DET,1477.2424,1327.5652
1980-12-06,1981,,ATL,DAL,1453.8799,1227.8643
1980-12-06,1981,,CLE,DET,1439.5894,1324.0414
1980-12-06,1981,,GSW,LAL,1485.8135,1638.5107
1980-12-06,1981,,HOU,DEN,1495.2866,1408.7324
1980-12-06,1981,,IND,KCK,1529.4922,1486.5193
